RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK,CURRENT STREAK
302,0,56100,Ren Yonezawa,60,6
308,0,19803,Ryan Armour,59,28
308,0,33974,Dean Burmester,59,19
308,0,20472,Alex Cejka,59,0
308,0,55965,Jacob Skov Olesen,59,12
308,0,39262,Alvaro Ortiz,59,12
308,0,35314,Andy Sullivan,59,11
314,0,45734,John Catlin,58,13
314,0,46270,Takashi Ogiso,58,58
314,0,48051,Yannik Paul,58,13
314,0,52411,Kyle Westmoreland,58,1
314,0,32139,Danny Willett,58,44
319,0,59871,Greg Koch,57,7
319,0,29425,Andrew Svoboda,57,57
319,0,39958,Jeunghun Wang,57,5
322,0,57330,Matthis Besard,56,56
322,0,49120,Kensei Hirata,56,18
322,0,54813,Philip Knowles,56,25
322,0,66583,Taisei Shimizu,56,24
322,0,47128,Richy Werenski,56,7
327,0,24925,Jonathan Byrd,55,40
327,0,51680,Alistair Docherty,55,18
327,0,46879,Naoyuki Kataoka,55,55
327,0,32815,Masahiro Kawamura,55,55
327,0,63454,Johnny Keefer,55,16
327,0,34607,Francesco Laporta,55,16
327,0,34360,Patrick Reed,55,16
327,0,27095,Nick Watney,55,13
335,0,55623,Kaito Onishi,53,3
336,0,37066,Grant Forrest,52,52
336,0,37250,Romain Langasque,52,19
336,0,23481,Marcel Siem,52,37
339,0,50223,Ewen Ferguson,51,6
339,0,32662,Michael Gligic,51,19
341,0,20721,Darren Fichardt,50,21
341,0,28340,Julien Guerrier,50,50
341,0,66701,Jackson Koivun,50,21
341,0,57944,Andy Ogletree,50,20
341,0,39335,Kevin Roy,50,50
341,0,30110,Kyle Stanley,50,50
347,0,37094,Joseph Dean,49,49
347,0,29970,Dylan Frittelli,49,8
347,0,60065,Ryan Hall,49,22
347,0,50323,Minkyu Kim,49,12
347,0,37446,Jacques Kruyswijk,49,49
347,0,46464,Jordan Smith,49,49
353,0,58989,Brandon Berry,48,35
353,0,48632,Yuto Katsuragawa,48,12
353,0,30957,Max Kieffer,48,48
353,0,58944,Blake McShea,48,48
357,0,51635,Chris Nido,47,47
357,0,57864,Jackson Van Paris,47,19
357,0,29939,Fabrizio Zanotti,47,12
360,0,35490,Wil Bateman,46,24
360,0,51989,Jordan Gumberg,46,46
360,0,64033,Luis Masaveu,46,8
360,0,32344,Lukas Nemecz,46,22
360,0,48052,Max Rottluff,46,25
365,0,63459,Dan Bradbury,45,13
365,0,65880,Gunnar Broin,45,7
365,0,24494,Erik Compton,45,10
365,0,39524,Sean Crocker,45,11
365,0,21209,Sergio Garcia,45,33
365,0,32816,Satoshi Kodaira,45,19
365,0,23814,Edoardo Molinari,45,13
372,0,31560,Brian Stuard,43,23
372,0,23788,D.J. Trahan,43,43
372,0,50474,Tim Widing,43,34
375,0,49590,Frankie Capan III,42,28
375,0,35557,Aaron Cockerill,42,42
375,0,47056,Rikuya Hoshino,42,13
